Timestamp,Score,Lives,Rocks_Destroyed,Shots_Fired,Shot_Accuracy
2025-05-07 17:38:33,6050,0,27,2488,0.010852090032154342
2025-05-07 17:42:19,3650,0,21,1554,0.013513513513513514
2025-05-07 17:46:43,6850,0,39,2171,0.017964071856287425
2025-05-07 17:51:44,6100,0,31,2164,0.01432532347504621
2025-05-07 17:55:19,5250,0,29,1480,0.019594594594594596
2025-05-07 17:56:18,1950,0,11,315,0.03492063492063492
2025-05-07 18:02:38,8050,0,39,3440,0.011337209302325582
2025-05-07 18:05:40,3950,0,15,1206,0.012437810945273632
2025-05-07 18:09:51,6050,0,36,2293,0.01569995638901003
2025-05-07 18:15:17,7350,0,41,2771,0.014796102490075786
2025-05-07 18:16:36,1450,0,8,723,0.011065006915629323
2025-05-07 18:23:18,6950,0,35,4708,0.007434154630416313
2025-05-07 18:30:06,8650,0,45,4331,0.010390210113137843
2025-05-07 18:32:08,2350,0,11,1387,0.007930785868781542
2025-05-07 18:35:43,4750,0,25,2077,0.01203659123736158
2025-05-07 18:41:57,6350,0,36,4401,0.0081799591002045
2025-05-07 18:46:28,7050,0,34,2455,0.01384928716904277
2025-05-07 18:49:46,4800,0,29,1916,0.015135699373695199
2025-05-07 18:54:58,7950,0,40,2613,0.015308075009567547
2025-05-07 19:02:26,11800,0,64,3704,0.017278617710583154
2025-05-07 19:05:15,4050,0,21,1637,0.012828344532681736
2025-05-07 19:10:35,5200,0,19,1894,0.01003167898627244
2025-05-07 19:12:47,2550,0,12,871,0.013777267508610792
2025-05-07 19:16:51,5450,0,34,1413,0.024062278839348902
2025-05-07 19:23:54,7150,0,40,3023,0.013231888852133642
2025-05-07 19:27:20,4850,0,27,1791,0.01507537688442211
2025-05-07 19:33:50,9850,0,49,3478,0.01408855664174813
2025-05-07 19:37:39,4850,0,32,1851,0.01728795245813074
2025-05-07 19:43:44,4200,0,18,2347,0.007669365146996165
2025-05-07 19:47:37,6150,0,30,1860,0.016129032258064516
2025-05-07 19:50:51,1850,0,7,893,0.007838745800671893
2025-05-07 19:51:39,1250,0,6,256,0.0234375
2025-05-07 19:55:01,3150,0,13,1580,0.008227848101265823
2025-05-07 19:56:54,3200,0,17,835,0.02035928143712575
2025-05-07 20:02:30,6350,0,36,2278,0.015803336259877086
2025-05-07 20:06:57,5200,0,30,1539,0.01949317738791423
2025-05-07 20:09:40,5150,0,28,981,0.02854230377166157
2025-05-07 20:15:48,6750,0,37,2695,0.013729128014842301
2025-05-07 20:17:55,2750,0,13,820,0.015853658536585366
2025-05-07 20:21:09,4250,0,21,1541,0.0136275146009085
2025-05-07 20:26:41,6150,0,31,2366,0.013102282333051564
2025-05-07 20:29:18,3250,0,13,1298,0.010015408320493066
2025-05-07 20:33:57,7450,0,39,1375,0.028363636363636365
2025-05-07 20:36:32,3550,0,13,890,0.014606741573033709
2025-05-07 20:39:26,3200,0,17,1182,0.014382402707275803
2025-05-07 20:41:37,2350,0,14,872,0.016055045871559634
2025-05-07 20:44:03,3550,0,21,764,0.0274869109947644
2025-05-07 20:46:43,2550,0,15,1014,0.014792899408284023
2025-05-07 20:48:46,2750,0,15,685,0.021897810218978103
2025-05-07 20:52:11,4000,0,18,1180,0.015254237288135594
2025-05-07 20:57:15,4900,0,27,1450,0.018620689655172412
2025-05-07 21:02:32,5750,0,28,1672,0.01674641148325359
2025-05-07 21:05:14,2150,0,11,674,0.016320474777448073
2025-05-07 21:06:31,1450,0,8,521,0.015355086372360844
2025-05-07 21:13:31,7800,0,30,3273,0.00916590284142988
2025-05-07 21:20:34,8400,0,42,4273,0.009829159840861221
2025-05-07 21:24:15,6800,0,29,1849,0.01568415359653867
2025-05-07 21:27:16,2950,0,13,1364,0.009530791788856305
2025-05-07 21:32:10,7050,0,39,2260,0.017256637168141593
2025-05-07 21:33:52,2750,0,15,715,0.02097902097902098
2025-05-07 21:36:25,2950,0,14,1487,0.00941492938802959
2025-05-07 21:39:24,4900,0,25,1496,0.016711229946524065
2025-05-07 21:43:22,5250,0,32,2029,0.015771315919172007
2025-05-07 21:49:03,6950,0,35,3901,0.008972058446552167
2025-05-07 21:53:35,7050,0,37,3075,0.012032520325203253
2025-05-07 21:56:46,4500,0,26,2066,0.012584704743465635
2025-05-07 22:02:52,9900,0,56,4549,0.012310397889646076
2025-05-07 22:09:56,3750,0,24,3666,0.006546644844517185
2025-05-07 22:14:05,4950,0,28,1750,0.016
2025-05-07 22:17:46,4750,0,29,2041,0.014208721215090642
2025-05-07 22:21:35,5850,0,34,1446,0.02351313969571231
2025-05-07 22:24:27,5250,0,33,1168,0.028253424657534245
2025-05-07 22:28:22,4850,0,23,1746,0.013172966781214204
2025-05-07 22:32:08,6950,0,28,2038,0.013738959764474975
2025-05-07 22:33:34,1550,0,8,708,0.011299435028248588
2025-05-07 22:40:41,8750,0,42,4167,0.010079193664506839
2025-05-07 22:44:01,5850,0,33,2316,0.014248704663212436
2025-05-07 22:51:43,9450,0,46,4874,0.00943783340172343
2025-05-07 22:57:22,6950,0,38,2752,0.013808139534883721
2025-05-07 23:03:12,5300,0,29,2579,0.011244668476153548
2025-05-07 23:06:14,5500,0,26,1360,0.01911764705882353
2025-05-07 23:08:51,2550,0,13,1519,0.008558262014483212
2025-05-07 23:12:12,5900,0,32,1693,0.018901358535144713
2025-05-07 23:16:31,5550,0,26,2253,0.01154016866400355
2025-05-07 23:22:33,8950,0,44,2990,0.01471571906354515
2025-05-07 23:27:06,3650,0,16,1920,0.008333333333333333
2025-05-07 23:29:38,2250,0,13,1174,0.011073253833049404
2025-05-07 23:34:09,3650,0,22,2116,0.010396975425330813
2025-05-07 23:36:44,2750,0,15,642,0.02336448598130841
2025-05-07 23:39:23,2650,0,10,963,0.010384215991692628
2025-05-07 23:45:11,5350,0,25,2778,0.008999280057595392
2025-05-07 23:46:16,2150,0,11,334,0.03293413173652695
2025-05-07 23:49:23,4050,0,20,1268,0.015772870662460567
2025-05-07 23:54:12,7450,0,39,1512,0.025793650793650792
2025-05-07 23:55:59,1950,0,11,789,0.01394169835234474
2025-05-07 23:58:22,2550,0,11,1012,0.010869565217391304
2025-05-08 00:03:55,3250,0,16,2287,0.006996064713598601
2025-05-08 00:05:03,1150,0,6,592,0.010135135135135136
2025-05-08 00:06:28,1750,0,9,664,0.01355421686746988
2025-05-08 00:08:02,2450,0,12,551,0.021778584392014518
2025-05-08 00:10:55,3800,0,20,1278,0.01564945226917058
2025-05-08 00:16:08,7050,0,36,2262,0.015915119363395226
2025-05-08 00:19:44,5200,0,25,1841,0.013579576317218903
2025-05-08 00:24:12,3550,0,17,1995,0.008521303258145364
2025-05-08 00:29:05,6250,0,34,2619,0.012982054219167621
2025-05-08 00:34:44,6350,0,30,2942,0.010197144799456152
2025-05-08 00:44:56,8900,0,42,5099,0.008236909197881937
2025-05-08 00:50:27,4700,0,24,3092,0.007761966364812419
2025-05-08 00:56:00,4700,0,20,2995,0.00667779632721202
2025-05-08 01:00:37,4400,0,26,1717,0.015142690739662202
2025-05-08 01:05:33,3650,0,15,2585,0.005802707930367505
2025-05-08 01:10:08,3500,0,21,2656,0.007906626506024096
2025-05-08 01:13:54,2950,0,11,2153,0.005109150023223409
2025-05-08 01:17:36,3150,0,18,1523,0.011818778726198293
2025-05-08 01:18:49,1350,0,7,682,0.010263929618768328
2025-05-08 01:22:57,4700,0,24,2508,0.009569377990430622
2025-05-08 01:30:02,7150,0,37,3528,0.010487528344671202
2025-05-08 01:36:10,7450,0,41,2953,0.01388418557399255
2025-05-08 01:41:40,3550,0,20,3363,0.005947071067499257
2025-05-08 01:44:05,2350,0,10,1165,0.008583690987124463
2025-05-08 01:49:40,5250,0,29,2661,0.010898158586997369
2025-05-08 01:53:15,3350,0,18,1875,0.0096
2025-05-08 02:04:12,11800,0,66,6347,0.010398613518197574
2025-05-08 02:08:07,5000,0,31,1834,0.016902944383860415
